Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000        -163.3207    -163.3207       0.0000     0.0
0.0050        -163.3192    -163.3212       0.0020    15.5
0.0100        -163.3180    -163.3226       0.0045    35.0
0.0150        -163.3175    -163.3244       0.0070    53.8
0.0200        -163.3161    -163.3266       0.0105    81.0
0.0250        -163.3156    -163.3294       0.0138   106.9
0.0300        -163.3153    -163.3329       0.0176   136.2
0.0350        -163.3154    -163.3368       0.0214   165.5
0.0400        -163.3173    -163.3412       0.0238   184.4
0.0450        -163.3170    -163.3460       0.0290   224.4
0.0500        -163.3189    -163.3510       0.0322   248.8
0.0550        -163.3209    -163.3566       0.0357   276.0
0.0600        -163.3227    -163.3623       0.0396   306.5
0.0650        -163.3251    -163.3682       0.0431   333.3
